Timestamp,Time_Offset_s,Direction,CAN_ID,DLC,Data_Hex,Data_ASCII,Extended,Remote,Error
2026-01-21T17:30:01.361780,299.360111,RX,0x123,8,06 07 08 09 00 04 23 06,......#.,False,False,False
2026-01-21T17:30:01.363237,299.361567,RX,0x123,8,07 08 09 0A 00 04 23 07,......#.,False,False,False
2026-01-21T17:30:01.364900,299.363230,RX,0x123,8,08 09 0A 0B 00 04 23 08,......#.,False,False,False
2026-01-21T17:30:01.366773,299.365103,RX,0x123,8,09 0A 0B 0C 00 04 23 09,......#.,False,False,False
2026-01-21T17:30:01.368318,299.366648,RX,0x123,8,0A 0B 0C 0D 00 04 23 0A,......#.,False,False,False
2026-01-21T17:30:01.369628,299.367959,RX,0x123,8,0B 0C 0D 0E 00 04 23 0B,......#.,False,False,False
2026-01-21T17:30:01.370976,299.369307,RX,0x123,8,0C 0D 0E 0F 00 04 23 0C,......#.,False,False,False
2026-01-21T17:30:01.371988,299.370319,RX,0x123,8,0D 0E 0F 10 00 04 23 0D,......#.,False,False,False
2026-01-21T17:30:01.373749,299.372079,RX,0x123,8,0E 0F 10 11 00 04 23 0E,......#.,False,False,False
2026-01-21T17:30:01.376255,299.374585,RX,0x123,8,0F 10 11 12 00 04 23 0F,......#.,False,False,False
2026-01-21T17:30:01.377673,299.376004,RX,0x123,8,10 11 12 13 00 04 23 10,......#.,False,False,False
2026-01-21T17:30:01.379326,299.377657,RX,0x123,8,11 12 13 14 00 04 23 11,......#.,False,False,False
2026-01-21T17:30:01.380726,299.379057,RX,0x123,8,12 13 14 15 00 04 23 12,......#.,False,False,False
2026-01-21T17:30:01.382086,299.380417,RX,0x123,8,13 14 15 16 00 04 23 13,......#.,False,False,False
2026-01-21T17:30:01.383801,299.382131,RX,0x123,8,14 15 16 17 00 04 23 14,......#.,False,False,False
2026-01-21T17:30:01.385385,299.383716,RX,0x123,8,15 16 17 18 00 04 23 15,......#.,False,False,False
2026-01-21T17:30:01.386747,299.385078,RX,0x123,8,16 17 18 19 00 04 23 16,......#.,False,False,False
2026-01-21T17:30:01.388228,299.386559,RX,0x123,8,17 18 19 1A 00 04 23 17,......#.,False,False,False
2026-01-21T17:30:01.389767,299.388097,RX,0x123,8,18 19 1A 1B 00 04 23 18,......#.,False,False,False
2026-01-21T17:30:01.391327,299.389657,RX,0x123,8,19 1A 1B 1C 00 04 23 19,......#.,False,False,False
2026-01-21T17:30:01.392332,299.390662,RX,0x123,8,1A 1B 1C 1D 00 04 23 1A,......#.,False,False,False
2026-01-21T17:30:01.394188,299.392519,RX,0x123,8,1B 1C 1D 1E 00 04 23 1B,......#.,False,False,False
2026-01-21T17:30:01.395876,299.394207,RX,0x123,8,1C 1D 1E 1F 00 04 23 1C,......#.,False,False,False
2026-01-21T17:30:01.397263,299.395593,RX,0x123,8,1D 1E 1F 20 00 04 23 1D,... ..#.,False,False,False
2026-01-21T17:30:01.398764,299.397095,RX,0x123,8,1E 1F 20 21 00 04 23 1E,.. !..#.,False,False,False
2026-01-21T17:30:01.400528,299.398859,RX,0x123,8,1F 20 21 22 00 04 23 1F,". !""..#.",False,False,False
2026-01-21T17:30:01.402329,299.400660,RX,0x123,8,20 21 22 23 00 04 23 20," !""#..# ",False,False,False
2026-01-21T17:30:01.403731,299.402062,RX,0x123,8,21 22 23 24 00 04 23 21,"!""#$..#!",False,False,False
2026-01-21T17:30:01.405166,299.403496,RX,0x123,8,22 23 24 25 00 04 23 22,"""#$%..#""",False,False,False
2026-01-21T17:30:01.406520,299.404851,RX,0x123,8,23 24 25 26 00 04 23 23,#$%&..##,False,False,False
2026-01-21T17:30:01.407533,299.405863,RX,0x123,8,24 25 26 27 00 04 23 24,$%&'..#$,False,False,False
2026-01-21T17:30:01.409877,299.408208,RX,0x123,8,25 26 27 28 00 04 23 25,%&'(..#%,False,False,False
2026-01-21T17:30:01.411429,299.409759,RX,0x123,8,26 27 28 29 00 04 23 26,&'()..#&,False,False,False
2026-01-21T17:30:01.412968,299.411298,RX,0x123,8,27 28 29 2A 00 04 23 27,'()*..#',False,False,False
2026-01-21T17:30:01.414528,299.412859,RX,0x123,8,28 29 2A 2B 00 04 23 28,()*+..#(,False,False,False
2026-01-21T17:30:01.416271,299.414601,RX,0x123,8,29 2A 2B 2C 00 04 23 29,")*+,..#)",False,False,False
2026-01-21T17:30:01.417664,299.415995,RX,0x123,8,2A 2B 2C 2D 00 04 23 2A,"*+,-..#*",False,False,False
2026-01-21T17:30:01.419159,299.417490,RX,0x123,8,2B 2C 2D 2E 00 04 23 2B,"+,-...#+",False,False,False
2026-01-21T17:30:01.420863,299.419193,RX,0x123,8,2C 2D 2E 2F 00 04 23 2C,",-./..#,",False,False,False
2026-01-21T17:30:01.422305,299.420636,RX,0x123,8,2D 2E 2F 30 00 04 23 2D,-./0..#-,False,False,False
2026-01-21T17:30:01.423676,299.422007,RX,0x123,8,2E 2F 30 31 00 04 23 2E,./01..#.,False,False,False
2026-01-21T17:30:01.425024,299.423355,RX,0x123,8,2F 30 31 32 00 04 23 2F,/012..#/,False,False,False
2026-01-21T17:30:01.426449,299.424780,RX,0x123,8,30 31 32 33 00 04 23 30,0123..#0,False,False,False
2026-01-21T17:30:01.427842,299.426173,RX,0x123,8,31 32 33 34 00 04 23 31,1234..#1,False,False,False
2026-01-21T17:30:01.429227,299.427558,RX,0x123,8,32 33 34 35 00 04 23 32,2345..#2,False,False,False
